annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
1261,Llama 3.3 70B · 12 000 TPM,"español, llamado",1,1,1,1,"español, llamado",BnF_243_12,bnf_243,Arturo,Cambios,Sustitución,1,"Cambios — Sustitución | Puntuación — Coma (,)",False,"español, llamado"
1262,Llama 3.3 70B · 12 000 TPM,"españoles, ni",1,1,1,1,"españoles, ni",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"españoles, ni"
1263,Llama 3.3 70B · 12 000 TPM,especialmte,1,1,1,1,especialmte,BnF_104_3,bnf_104,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,especialmte
1264,Llama 3.3 70B · 12 000 TPM,esptos,1,1,1,1,esptos,BnF_104_3,bnf_104,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,esptos
1265,Llama 3.3 70B · 12 000 TPM,espturas,1,1,1,1,espturas,BnF_104_3,bnf_104,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,espturas
1266,GPT OSS 120B · 8 000 TPM,esr,1,1,1,1,esr,AGN_Indios_v019_exp354_2,agn_indios,Alba,Filológicas - mecánicas,E protética,1,Filológicas - mecánicas — E protética,False,esr
1267,GPT OSS 120B · 8 000 TPM,esr.,1,1,1,1,esr.,BnF_113_04,bnf_113,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,esr.
1268,Llama 3.3 70B · 12 000 TPM,esta mi autoridad,1,1,1,1,esta mi autoridad,BnF_032_23,bnf_032,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,esta mi autoridad
1269,GPT OSS 120B · 8 000 TPM,estan,1,1,1,1,estan,BnF_113_22,bnf_113,Paloma,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,estan
1270,Llama 3.3 70B · 12 000 TPM,estandartes,1,1,1,1,estandartes,BnF_266_05,bnf_266,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,estandartes
1271,Llama 3.3 70B · 12 000 TPM,estar,1,1,1,1,estar,BnF_266_10,bnf_266,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,estar
1272,Llama 3.3 70B · 12 000 TPM,estartid;,1,1,1,1,estartid;,BP_CM_R494_156_2,bp_cm,Javier,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,estartid;
1273,Llama 3.3 70B · 12 000 TPM,estaría,1,1,1,1,estaría,BP_CM_32386_007_2,bp_cm,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,estaría
1274,Llama 3.3 70B · 12 000 TPM,estas,1,1,1,1,estas,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",1,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción",False,estas
1275,Llama 3.3 70B · 12 000 TPM,estas gentes,1,1,1,1,estas gentes,BnF_264_03,bnf_264,Adriana,Cambios,Deleción,1,Cambios — Deleción,False,estas gentes
1276,Llama 3.3 70B · 12 000 TPM,estas minas,1,1,1,1,estas minas,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,estas minas
1277,Llama 3.3 70B · 12 000 TPM,este,1,1,1,1,este,BnF_075_035,bnf_075,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,este
1278,Llama 3.3 70B · 12 000 TPM,este. tiene,1,1,1,1,este. tiene,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Otros,1,Cambios — Otros,False,este. tiene
1279,GPT OSS 120B · 8 000 TPM,esto,1,1,1,1,esto,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,esto
1280,Llama 3.3 70B · 12 000 TPM,estoss,1,1,1,1,estoss,BnF_118_03,bnf_118,Paloma,Filológicas - mecánicas,Simplificación de grupos consonánticos,1,Filológicas - mecánicas — Simplificación de grupos consonánticos,False,estoss
1281,Llama 3.3 70B · 12 000 TPM,"estoy, con",1,1,1,1,"estoy, con",BnF_110_09,bnf_110,Alba,Cambios,Deleción,1,Cambios — Deleción,False,"estoy, con"
1282,GPT OSS 120B · 8 000 TPM,estubiere,1,1,1,1,estubiere,AGN_IndiferenteVirreinal_caja4071_exp024_2,agn_indiferentevirreinal,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,estubiere
1283,Llama 3.3 70B · 12 000 TPM,estudian la lengua mexicana,1,1,1,1,estudian la lengua mexicana,Mechoacan_Yurirapundaro_1,mechoacan_yurirapundaro,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,estudian la lengua mexicana
1284,Llama 3.3 70B · 12 000 TPM,está,1,1,1,1,está,utblac_gg_mss_g62_duplicated_15,utblac_gg,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,está
1285,Llama 3.3 70B · 12 000 TPM,está a 3,1,1,1,1,está a 3,Mechoacan_Yurirapundaro_1,mechoacan_yurirapundaro,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,está a 3
1286,Llama 3.3 70B · 12 000 TPM,está a 4,1,1,1,1,está a 4,Mechoacan_Yurirapundaro_1,mechoacan_yurirapundaro,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,está a 4
1287,Llama 3.3 70B · 12 000 TPM,está la,1,1,1,1,está la,BnF_266_07,bnf_266,Paco,Cambios,Deleción,1,Cambios — Deleción,False,está la
1288,Llama 3.3 70B · 12 000 TPM,están sueltas,1,1,1,1,están sueltas,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,están sueltas
1289,Llama 3.3 70B · 12 000 TPM,"están, y",1,1,1,1,"están, y",BnF_032_23,bnf_032,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"están, y"
1290,Llama 3.3 70B · 12 000 TPM,estévanez,1,1,1,1,Estévanez,BnF_167_10,bnf_167,Edna,Cambios,Inserción,1,Cambios — Inserción,False,estévanez
1291,GPT OSS 120B · 8 000 TPM,esy,1,1,1,1,esy,BnF_112_04,bnf_112,Paloma,Cambios,Inserción,1,Cambios — Inserción | Filológicas - instrucciones — Regularización de i/y vocálicas,False,esy
1292,GPT OSS 120B · 8 000 TPM,esyn,1,1,1,1,esyn,BnF_111_20,bnf_111,Flor,Cambios,Inserción,1,Cambios — Inserción | Filológicas - instrucciones — Regularización de i/y vocálicas,False,esyn
1293,GPT OSS 120B · 8 000 TPM,etc.,1,1,1,1,etc.,AGN_Indios_v002_exp835,agn_indios,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,etc.
1294,Llama 3.3 70B · 12 000 TPM,etc.,1,1,1,1,etc.,BnF_174_03,bnf_174,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,etc.
1295,Llama 3.3 70B · 12 000 TPM,etra,1,1,1,1,etra,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,etra
1296,GPT OSS 120B · 8 000 TPM,etza,1,1,1,1,etza,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,etza
1297,Llama 3.3 70B · 12 000 TPM,eucaristía,1,1,1,1,eucaristía,Mechoacan_Yurirapundaro_2,mechoacan_yurirapundaro,Arturo,Cambios,No sub-rule assigned,1,Cambios — No sub-rule assigned | Puntuación — No sub-rule assigned,False,eucaristía
1298,Llama 3.3 70B · 12 000 TPM,exa,1,1,1,1,Exa,UIA_Ms149_Exp3_04,uia_ms149,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,exa
1299,GPT OSS 120B · 8 000 TPM,exacción,1,1,1,1,exacción,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,exacción
1300,Llama 3.3 70B · 12 000 TPM,excepto,1,1,1,1,Excepto,AGS_CE_RG_L379_04,ags_ce,Rodrigo,Cambios,Otros,1,Cambios — Otros,False,excepto
1301,GPT OSS 120B · 8 000 TPM,excurso,1,1,1,1,excurso,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,excurso
1302,GPT OSS 120B · 8 000 TPM,exon,1,1,1,1,exon,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,exon
1303,GPT OSS 120B · 8 000 TPM,exor,1,1,1,1,exor,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,exor
1304,Llama 3.3 70B · 12 000 TPM,expoual,1,1,1,1,Expoual,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Deleción,False,expoual
1305,Llama 3.3 70B · 12 000 TPM,expreso,1,1,1,1,expreso,AGN_Tierras_v2963_exp059_24,agn_tierras,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,expreso
1306,GPT OSS 120B · 8 000 TPM,exptoval,1,1,1,1,exptoval,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,exptoval
1307,Llama 3.3 70B · 12 000 TPM,extinguida. cundieron,1,1,1,1,extinguida. Cundieron,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,extinguida. cundieron
1308,GPT OSS 120B · 8 000 TPM,fabrica,1,1,1,1,fabrica,BNE_ms3047_1,bne_ms3047,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,fabrica
1309,GPT OSS 120B · 8 000 TPM,fallecio,1,1,1,1,fallecio,BnF_112_02,bnf_112,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,fallecio
1310,GPT OSS 120B · 8 000 TPM,fallescido,1,1,1,1,fallescido,BnF_112_02,bnf_112,Arturo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,fallescido
1311,Llama 3.3 70B · 12 000 TPM,falso,1,1,1,1,falso,BP_CM_R481_071_2,bp_cm,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,falso
1312,Llama 3.3 70B · 12 000 TPM,"falta, a",1,1,1,1,"falta, a",AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"falta, a"
1313,GPT OSS 120B · 8 000 TPM,fe q,1,1,1,1,fe q,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,fe q
1314,Llama 3.3 70B · 12 000 TPM,"fe, vistas",1,1,1,1,"fe, vistas",utblac_wbs_0912a_duplicated,utblac_wbs,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"fe, vistas"
1315,Llama 3.3 70B · 12 000 TPM,fe; con,1,1,1,1,fe; con,BnF_174_03,bnf_174,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,fe; con
1316,Llama 3.3 70B · 12 000 TPM,fechada,1,1,1,1,fechada,BnF_119-148_24,bnf_119-148,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,fechada
1317,Llama 3.3 70B · 12 000 TPM,fechas.,1,1,1,1,fechas.,AGN_Tierras_v039-2_exp003_41,agn_tierras,Flor,Puntuación,Punto (.),1,Puntuación — Punto (.),False,fechas.
1318,Llama 3.3 70B · 12 000 TPM,"felipe,",1,1,1,1,"felipe,",AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Otros,1,"Cambios — Otros | Puntuación — Coma (,)",False,"felipe,"
1319,Llama 3.3 70B · 12 000 TPM,"fernández, del",1,1,1,1,"Fernández, del",AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"fernández, del"
1320,GPT OSS 120B · 8 000 TPM,fhos.,1,1,1,1,fhos.,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Puntuación — Punto (.),False,fhos.
1321,Llama 3.3 70B · 12 000 TPM,"fiel, y",1,1,1,1,"fiel, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"fiel, y"
1322,Llama 3.3 70B · 12 000 TPM,fieles difuntos,1,1,1,1,Fieles Difuntos,BnF_167_10,bnf_167,Edna,Cambios,Inserción,1,Cambios — Inserción,False,fieles difuntos
1323,Llama 3.3 70B · 12 000 TPM,filicación,1,1,1,1,Filicación,BnF_243_16,bnf_243,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,filicación
1324,Llama 3.3 70B · 12 000 TPM,firmo,1,1,1,1,firmo,AGN_AHHacienda_v268_exp046_03,agn_ahhacienda,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,firmo
1325,GPT OSS 120B · 8 000 TPM,firmó,1,1,1,1,firmó,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,firmó
1326,Llama 3.3 70B · 12 000 TPM,firmólo,1,1,1,1,firmólo,AGI_INDIFERENTE_2065_N45_11,agi_indiferente,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,firmólo
1327,GPT OSS 120B · 8 000 TPM,fo,1,1,1,1,fo,AGN_Indios_v002_exp835,agn_indios,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,fo
1328,Llama 3.3 70B · 12 000 TPM,fo,1,1,1,1,fo,AGN_Inquisicion_v1568A_exp152_fs115-116v_04,agn_inquisicion,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,fo
1329,GPT OSS 120B · 8 000 TPM,formó,1,1,1,1,formó,BnF_113_04,bnf_113,Paco,Cambios,Sustitución,1,Cambios — Sustitución,False,formó
1330,Llama 3.3 70B · 12 000 TPM,forzadamente,1,1,1,1,forzadamente,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,Cambios,Sustitución,1,Cambios — Sustitución,False,forzadamente
1331,Llama 3.3 70B · 12 000 TPM,fos,1,1,1,1,fos,BnF_118_02,bnf_118,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,fos
1332,Llama 3.3 70B · 12 000 TPM,frai,1,1,1,1,frai,Mechoacan_Yurirapundaro_2,mechoacan_yurirapundaro,Arturo,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,frai
1333,Llama 3.3 70B · 12 000 TPM,frailes,1,1,1,1,frailes,BnF_113_43,bnf_113,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,frailes
1334,Llama 3.3 70B · 12 000 TPM,francisco atiquixcan,1,1,1,1,francisco atiquixcan,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Otros,1,Cambios — Otros,False,francisco atiquixcan
1335,Llama 3.3 70B · 12 000 TPM,"francisco,",1,1,1,1,"Francisco,",BnF_075_035,bnf_075,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"francisco,"
1336,Llama 3.3 70B · 12 000 TPM,frdo,1,1,1,1,Frdo,AGN_HospJesus_c205_exp041_04,agn_hospjesus,Flor,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,frdo
1337,Llama 3.3 70B · 12 000 TPM,frijoles,1,1,1,1,frijoles,utblac_JGI_XXIII-09_Amula_25,utblac_jgi,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,frijoles
1338,Llama 3.3 70B · 12 000 TPM,frio,1,1,1,1,frio,AGI_CONTRATACION_1089_N8_151,agi_contratacion,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,frio
1339,Llama 3.3 70B · 12 000 TPM,frutos,1,1,1,1,Frutos,AGN_Inquisicion_v1568A_exp152_fs115-116v_01,agn_inquisicion,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,frutos
1340,GPT OSS 120B · 8 000 TPM,fue,1,1,1,1,fue,AGN_Marina_v002_exp024_005,agn_marina,Flor,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,fue
1341,Llama 3.3 70B · 12 000 TPM,fue justo,1,1,1,1,fue justo,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,fue justo
1342,Llama 3.3 70B · 12 000 TPM,"fuente, y",1,1,1,1,"Fuente, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"fuente, y"
1343,Llama 3.3 70B · 12 000 TPM,"fuera,",1,1,1,1,"fuera,",BnF_266_07,bnf_266,Paco,Cambios,Sustitución,1,"Cambios — Sustitución | Puntuación — Coma (,)",False,"fuera,"
1344,Llama 3.3 70B · 12 000 TPM,fuere y,1,1,1,1,fuere y,AGS_CE_RG_L379_02,ags_ce,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,fuere y
1345,Llama 3.3 70B · 12 000 TPM,fuese,1,1,1,1,fuese,utblac_wbs_888_duplicated_1,utblac_wbs,Edna,Cambios,Sustitución,1,Cambios — Sustitución,False,fuese
1346,Llama 3.3 70B · 12 000 TPM,fueseis,1,1,1,1,fueseis,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,fueseis
1347,Llama 3.3 70B · 12 000 TPM,fuisteis,1,1,1,1,fuisteis,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,fuisteis
1348,Llama 3.3 70B · 12 000 TPM,fuisteis a,1,1,1,1,fuisteis a,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,fuisteis a
1349,GPT OSS 120B · 8 000 TPM,fundamente,1,1,1,1,Fundamente,AGS_CE_RG_L379_01,ags_ce,Javier,Cambios,Sustitución,1,Cambios — Sustitución,False,fundamente
1350,Llama 3.3 70B · 12 000 TPM,fuésemos;,1,1,1,1,fuésemos;,BnF_167_03,bnf_167,Javier,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,fuésemos;
1351,GPT OSS 120B · 8 000 TPM,fysiere,1,1,1,1,fysiere,BnF_112_04,bnf_112,Paloma,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,fysiere
1352,GPT OSS 120B · 8 000 TPM,"fábrica, hay",1,1,1,1,"fábrica, hay",BNE_ms3047_1,bne_ms3047,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,) | Puntuación — Punto (.)",False,"fábrica, hay"
1353,GPT OSS 120B · 8 000 TPM,fábrica. y,1,1,1,1,fábrica. y,BNE_ms3047_1,bne_ms3047,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,fábrica. y
1354,GPT OSS 120B · 8 000 TPM,galizia,1,1,1,1,galizia,AGI_PATRONATO_182_R3_04,agi_patronato,Paco,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,galizia
1355,Llama 3.3 70B · 12 000 TPM,"ganado, y",1,1,1,1,"ganado, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"ganado, y"
1356,Llama 3.3 70B · 12 000 TPM,"garcía,",1,1,1,1,"García,",AGI_INDIFERENTE_2065_N45_11,agi_indiferente,Alba,Cambios,Deleción,1,Cambios — Deleción | Puntuación — No sub-rule assigned,False,"garcía,"
1357,Llama 3.3 70B · 12 000 TPM,garrota,1,1,1,1,garrota,BnF_266_05,bnf_266,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,garrota
1358,GPT OSS 120B · 8 000 TPM,gastado,1,1,1,1,gastado,BnF_030_27,bnf_030,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,gastado
1359,Llama 3.3 70B · 12 000 TPM,"general,",1,1,1,1,"General,",AGS_CE_RG_L379_02,ags_ce,Arturo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,"general,"
1360,GPT OSS 120B · 8 000 TPM,gens.,1,1,1,1,gens.,AGS_CE_RG_L379_01,ags_ce,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,gens.
1361,Llama 3.3 70B · 12 000 TPM,gente:,1,1,1,1,gente:,BnF_174_06,bnf_174,Javier,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,gente:
1362,Llama 3.3 70B · 12 000 TPM,"gentes, de",1,1,1,1,"gentes, de",BnF_264_03,bnf_264,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,"gentes, de"
1363,Llama 3.3 70B · 12 000 TPM,gentes. de,1,1,1,1,gentes. De,BnF_264_03,bnf_264,Adriana,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,gentes. de
1364,Llama 3.3 70B · 12 000 TPM,germo,1,1,1,1,Germo,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,germo
1365,GPT OSS 120B · 8 000 TPM,geronimo,1,1,1,1,geronimo,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,geronimo
1366,GPT OSS 120B · 8 000 TPM,ges,1,1,1,1,ges,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,ges
1367,GPT OSS 120B · 8 000 TPM,gl,1,1,1,1,GL,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,gl
1368,Llama 3.3 70B · 12 000 TPM,go,1,1,1,1,go,BnF_104_3,bnf_104,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,go
1369,GPT OSS 120B · 8 000 TPM,gobern,1,1,1,1,gobern,BnF_116_02,bnf_116,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,gobern
1370,GPT OSS 120B · 8 000 TPM,gobernador,1,1,1,1,gobernador,BnF_112_02,bnf_112,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,gobernador
1371,Llama 3.3 70B · 12 000 TPM,gobernador que no,1,1,1,1,Gobernador que no,BnF_167_29,bnf_167,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,gobernador que no
1372,GPT OSS 120B · 8 000 TPM,"gobernador. prendieron,",1,1,1,1,"gobernador. prendieron,",BnF_116_02,bnf_116,Paco,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"gobernador. prendieron,"
1373,Llama 3.3 70B · 12 000 TPM,"gobierne, y",1,1,1,1,"gobierne, y",AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"gobierne, y"
1374,Llama 3.3 70B · 12 000 TPM,gobierno,1,1,1,1,gobierno,AGI_PATRONATO_182_R3_03,agi_patronato,Javier,Cambios,Sustitución,1,Cambios — Sustitución,False,gobierno
1375,Llama 3.3 70B · 12 000 TPM,"golpe, que",1,1,1,1,"golpe, que",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"golpe, que"
1376,GPT OSS 120B · 8 000 TPM,gomez,1,1,1,1,Gomez,BnF_032_36,bnf_032,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,gomez
1377,GPT OSS 120B · 8 000 TPM,gor,1,1,1,1,gor,BnF_113_04,bnf_113,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,gor
1378,GPT OSS 120B · 8 000 TPM,goveor,1,1,1,1,goveor,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,goveor
1379,GPT OSS 120B · 8 000 TPM,governado,1,1,1,1,governado,BnF_113_22,bnf_113,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,governado
1380,GPT OSS 120B · 8 000 TPM,governdor,1,1,1,1,Governdor,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,governdor
1381,GPT OSS 120B · 8 000 TPM,governor,1,1,1,1,Governor,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,governor
1382,GPT OSS 120B · 8 000 TPM,govierna,1,1,1,1,govierna,BnF_113_22,bnf_113,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,govierna
